table_name	table_info	table_path	err_ds	err_hour	table_time	project	workflow	task	table_type	person_in_charge	flag	update_type
basicdata.ad_show_nrt	basic层-	/basicdata/kafka/ad/show/nrt	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.archive_v6_srv_recharge	basic层-v6.srv.recharge 6版充值	/basicdata/kafka/v6/srv/recharge	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_android_behavior_v2	basic层-android.ireader.user.behaviorv2 行为采集数据	/basicdata/kafka/android/ireader/user/behaviorv2	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_app_launch	basic层-v6.php.launch 6版启动日志	/basicdata/kafka/v6/php/launch	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_bookstore_php	basic层-v6.php.bookstore 6版书城php页面数据	/basicdata/kafka/v6/php/bookstore	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_client_user_read_real_rt	basic层-华为快应用实时阅读时长	/basicdata/kafka/client/user/read/real/rt	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_client_user_staytime	basic层-用户app停留时长	/basicdata/kafka/client/user/staytime	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_dj_commercial_ad	basic层-得间商业化日志	/basicdata/kafka/dj/commercial/ad	2	2	无	megalodon	无	无	得间-p0-	郭金	1	h
basicdata.basic_dj_read_time_rt	basic层-得间阅读实时数据	/basicdata/kafka/dj/read/time/rt	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_download_log	basic层-6版下载日志	/basicdata/kafka/v6/srv/download	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_gift_voucher	basic层-v6.srv.giftvoucher 6版代金卷赠送日志	/basicdata/kafka/v6/srv/giftvoucher	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_invest_launch_rt	basic层-投放启动全量日志	/basicdata/kafka/invest/launch/rt	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_invest_sync_rt	basic层-投放数据同步,目前有用户新增注册	/basicdata/kafka/invest/sync/rt	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_invest_third_rt	basic层-投放第三方平台消耗等数据	/basicdata/kafka/invest/third/rt	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_ios_behavior_v2	basic层-ios.ireader.user.behaviorv2 行为采集数据	/basicdata/kafka/ios/ireader/user/behaviorv2	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_midu_php_launch	basic层-秘读启动布点	/basicdata/kafka/midu/php/launch	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_midu_read_time	basic层-秘读阅读布点	/basicdata/kafka/midu/read/time	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_midu_user_show_nrt	basic层-秘读曝光非实时	/basicdata/kafka/midu/user/show/nrt	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_midu_user_show_rt	basic层-秘读曝光实时	/basicdata/kafka/midu/user/show/rt	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_order_flow_log	basic层-uc.order.flow.log 电子书销售	/basicdata/kafka/uc/order/flow/log	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_recharge_v6	basic层-v6.pay.recharge.php 6版书城php充值页面日志	/basicdata/kafka/v6/pay/recharge/php	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_record_read_bean	basic层-	/basicdata/kafka/record/read/bean	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_sensors_event	basic层-同步神策的topic:event_topic	/basicdata/kafka/sensors/event	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_sensors_event_client	basic层-神策客户端日志	/basicdata/kafka/sensors/event/client	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_sensors_event_server	basic层-神策服务端日志	/basicdata/kafka/sensors/event/server	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_sukan_php_launch	basic层-	/basicdata/kafka/sukan/php/launch	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_sukan_read_time	basic层-速看阅读日志上报	/basicdata/kafka/sukan/read/time	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_sukan_show_nrt	basic层-	/basicdata/kafka/sukan/user/show/nrt	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_sukan_show_rt	basic层-	/basicdata/kafka/sukan/user/show/rt	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_uc_active_device	basic层-uc打点的活跃设备	/basicdata/kafka/uc/active/device	2	2	无	megalodon	无	无	无	郭金	1	h
basicdata.basic_user_click	basic层-ireader.user.click 点击日志	/basicdata/kafka/ireader/user/click	2	2	无	megalodon	无	无	无	郭金	1	h
